夜市名稱,攤商名稱,攤位,調味名稱,品牌,來源(產地)
景美夜市,好口味蔥油餅,文山區景美街81號,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
景美夜市,好口味蔥油餅,文山區景美街81號,辣椒醬,自製,台灣
景美夜市,好口味蔥油餅,文山區景美街81號,醬油膏,三珍醬油工廠,雲林縣新街路40號
景美夜市,好口味蔥油餅,文山區景美街81號,鹽,台鹽實業股份有限公司?,台南市南區健康路1段297號
景美夜市,景美廖家古早味雞蛋糕,文山區景美街36號,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,狀元糕,饒河街10攤位,芝麻粉,點點雜糧,新北市三重區雙園街57巷5號
饒河街觀光夜市,狀元糕,饒河街10攤位,花生粉,點點雜糧,新北市三重區雙園街57巷5號
饒河街觀光夜市,狀元糕,饒河街10攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,永哥爆漿好吃雞腿捲,饒河街23號攤位,胡椒粉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,現炸魷魚船,饒河街25號攤位,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,現炸魷魚船,饒河街25號攤位,芥末,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,現炸魷魚船,饒河街25號攤位,胡椒,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,現炸魷魚船,饒河街25號攤位,泰式酸辣醬,現炸魷魚船(臺中總店),臺中市北屯區經貿一路168巷225號
饒河街觀光夜市,北極螺,饒河街26攤位,胡椒粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,北極螺,饒河街26攤位,辣粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,北極螺,饒河街26攤位,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,深海大魷魚,饒河街27攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,玉米哥直立式炭烤玉米,饒河街攤商號碼304,沙茶醬,勝益興食品有限公司,高雄市三民區遼北街7號
饒河街觀光夜市,玉米哥直立式炭烤玉米,饒河街攤商號碼304,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,玉米哥直立式炭烤玉米,饒河街攤商號碼304,醬油,新亞醬園,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,玉米哥直立式炭烤玉米,饒河街攤商號碼304,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,健康鮮果汁,饒河街33號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,碳霸海鮮燒烤,饒河街34攤位,胡椒粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,饒河鳥蛋蝦球,饒河街32攤位,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,饒河鳥蛋蝦球,饒河街32攤位,胡椒鹽,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,饒河鳥蛋蝦球,饒河街32攤位,海苔粉,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,原住民山豬肉香腸,饒河街223號攤位,金梅醬油膏,新亞醬園,新北市蘆洲區長安街285巷18號1F
饒河街觀光夜市,原住民山豬肉香腸,饒河街223號攤位,黑胡椒,飛馬牌(濟生股份有限公司),台北市大同區安西街116號
饒河街觀光夜市,原住民山豬肉香腸,饒河街223號攤位,蒜泥,歸綏街批發市場,臺北市歸綏街
饒河街觀光夜市,原住民山豬肉香腸,饒河街223號攤位,靜岡芥末,歸綏街批發市場,臺北市歸綏街
饒河街觀光夜市,烤野生生蠔,饒河街43攤位,胡椒粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,炸彈蔥油餅,饒河街45號對面,沙拉油,大統益股份有限公司,台南市官田區二鎮里工業西路32號
饒河街觀光夜市,炸彈蔥油餅,饒河街45號對面,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,炸彈蔥油餅,饒河街45號對面,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,乾燒蛤,饒河街173攤位,胡椒粒,福利蔥蒜行,台北市大同區歸綏街246號
饒河街觀光夜市,一口煎餃,饒河街61號攤位,沙拉油,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,一口煎餃,饒河街61號攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,老芋頭仔芋頭酥,饒河街63號店面右邊,沙拉油,大成長城企業股份有限公司,台南市永康區蔦松二街3號
饒河街觀光夜市,老芋頭仔芋頭酥,饒河街63號店面右邊,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,黑仔滷味,饒河街64號攤位,香油,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,黑仔滷味,饒河街64號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,黑仔滷味,饒河街64號攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,黑仔滷味,饒河街64號攤位,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,鹽酥雞,饒河街66攤位,胡椒粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,鹽酥雞,饒河街66攤位,辣椒粉,天裕行(其美有限公司),台北市信義區松山路156之1號
饒河街觀光夜市,貝克現烤馬鈴薯,饒河街51號前,玉米粒,無品牌,泰國進口
饒河街觀光夜市,旺角,饒河街76號店面,沙拉油,佳格食品股份有限公司 ,台北市大安區仁愛路三段136號5樓
饒河街觀光夜市,旺角,饒河街76號店面,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,生蠔哥海鮮炭烤,饒河街79號,胡椒粉,台灣第一家有限公司,新北市土城區成功街2-1號(土城工業區)
饒河街觀光夜市,生蠔哥海鮮炭烤,饒河街79號,海鹽,Kirkland Signature 科克蘭研磨地中海海鹽,法國
饒河街觀光夜市,生蠔哥海鮮炭烤,饒河街79號,細砂糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,生蠔哥海鮮炭烤,饒河街79號,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,王記高粱酒香腸,饒河街90號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,王記高粱酒香腸,饒河街90號攤位,鹽,台鹽實業股份有限公司?,台南市南區健康路1段297號
饒河街觀光夜市,宜蘭蔥捲餅,饒河街97號攤位,沙拉油,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,宜蘭蔥捲餅,饒河街97號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,宜蘭蔥捲餅,饒河街97號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,宜蘭蔥捲餅,饒河街97號攤位,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,天津北晟甘栗,饒河街119號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,現打果汁,饒河街121攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,寶媽養生品,饒河街159號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,牛B葫蘆王,饒河街166號攤位,巧克力,三多士股份有限公司,台北市大安區四維路208巷3-1號1樓
饒河街觀光夜市,牛B葫蘆王,饒河街166號攤位,白糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,牛B葫蘆王,饒河街166號攤位,梅子粉,牛b葫蘆王總店,台中市西屯區文華路25之9號對面
饒河街觀光夜市,牛B葫蘆王,饒河街166號攤位,煉乳,盛發興食品股份有限公司,雲林縣斗六市斗六工業區民享街1號
饒河街觀光夜市,牛B葫蘆王,饒河街166號攤位,蜂蜜,牛b葫蘆王總店,台中市西屯區文華路25之9號對面
饒河街觀光夜市,北京羊肉串,饒河街171攤位,沙拉油,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,北大洋深海大魷魚,饒河街172攤位,蠔油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,特濃戀鮮乳,饒河街173號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,金桔檸檬,饒河街182攤位,果糖,豐年豐和企業股份有限公司,台南市東區裕農路375號8樓
饒河街觀光夜市,金桔檸檬,饒河街182攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,和之屋脆皮雞蛋燒,饒河街177號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路二段326號
饒河街觀光夜市,花枝燒,饒河街178攤位,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,木瓜牛奶,饒河街180攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,甜心脆皮雞蛋糕,饒河街192號騎樓,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,鄉淳布丁豆花,饒河街194號店面側邊,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,QQ涼圓,饒河街224攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,QQ涼圓,饒河街224攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,幸花明太子起司烤餅,饒河街179號攤位,七味唐辛,新北市明志路三段145號34弄2樓,幸花明太子起司烤餅(總店)
饒河街觀光夜市,幸花明太子起司烤餅,饒河街179號攤位,海苔,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,幸花明太子起司烤餅,饒河街179號攤位,蒜味粉,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,有夠讚特大雞排,饒河街233號攤位,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,有夠讚特大雞排,饒河街233號攤位,胡椒鹽,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,有夠讚特大雞排,饒河街233號攤位,辣椒粉,統隆企業有限公司,台北市北投區立德路121巷18號
饒河街觀光夜市,爆醬菇寶寶,饒河街251號攤位,沙拉油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,爆醬菇寶寶,饒河街251號攤位,胡椒粉,小磨坊國際貿易股份有限公司 ,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,福德魯味,饒河街252號攤位,香油,日發麻油行,新北市三重區仁昌街94號
饒河街觀光夜市,福德魯味,饒河街252號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,福德魯味,饒河街252號攤位,醬油,味全食品工業股份有限公司,台北市中山區松江路125號
饒河街觀光夜市,杏花村,饒河街254號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,難忘蟹肉,饒河街255攤位,胡椒粉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,難忘蟹肉,饒河街255攤位,辣椒粉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,難忘蟹肉,饒河街256號攤位,胡椒粉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,難忘蟹肉,饒河街256號攤位,辣椒粉,老公仔標(統隆企業有限公司),台北市北投區立德路121巷18號
饒河街觀光夜市,大阿姨涼拌手撕雞,饒河街257攤位,冰糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,大阿姨涼拌手撕雞,饒河街257攤位,香油,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,大阿姨涼拌手撕雞,饒河街257攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,QQ王子地瓜球,饒河街264號攤位,沙拉油,美食家(大統益股份有限公司),台南市官田區二鎮里工業西路32號
饒河街觀光夜市,大嘴巴空心鳳爪,饒河街265號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,永哥爆漿好吃雞腿捲,饒河街266號攤位,胡椒粉,小磨坊國際貿易股份有限公司,台中市西屯工業區一路70號7樓之1
饒河街觀光夜市,越南美食,饒河街269號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,金珍珠糯玉米,饒河街274號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,蔙萵蔥餅,饒河街285號攤位,沙拉油,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,蔙萵蔥餅,饒河街285號攤位,香油,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,蔙萵蔥餅,饒河街285號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,蔙萵蔥餅,饒河街285號攤位,鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,幸花明太子起司烤餅,饒河街286攤位,七味唐辛,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,幸花明太子起司烤餅,饒河街286攤位,海苔,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,幸花明太子起司烤餅,饒河街286攤位,蒜味粉,幸花明太子起司烤餅(總店),新北市明志路三段145號34弄2樓
饒河街觀光夜市,雙保明小籠湯包,饒河街287號攤位,香油,一滴香(辰邦股份有限公司),新北市新莊區化成路403巷47號
饒河街觀光夜市,雙保明小籠湯包,饒河街287號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路二段326號
饒河街觀光夜市,雙保明小籠湯包,饒河街287號攤位,鹽,台鹽實業股份有限公司,台南市南區健康路一段297號
饒河街觀光夜市,口袋吐司,饒河街290號攤位,耐炸油,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,鮮烤魷魚,饒河街291號攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,大腸包小腸,饒河街292攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,大腸包小腸,饒河街292攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,純天然愛玉仙草,饒河街293號攤位,台糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,大嘴巴空心鳳爪,饒河街294號攤位,香油,福壽實業股份有限公司,台中市沙鹿區沙田路45號
饒河街觀光夜市,大嘴巴空心鳳爪,饒河街294號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,呂小姐不一樣的情人果,饒河街306號攤位,甘草粉,勝元堂中藥,台北市大同區民生西路330號1樓
饒河街觀光夜市,呂小姐不一樣的情人果,饒河街306號攤位,梅粉,勝元堂中藥,台北市大同區民生西路330號1樓
饒河街觀光夜市,呂小姐不一樣的情人果,饒河街306號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,爸拿那法式薄餅,饒河街56號攤位,煉乳,盛發興食品股份有限公司,雲林縣斗六市斗六工業區民享街1號
饒河街觀光夜市,芭樂嫂,饒河街317號攤位,梅粉,林桔園蜜餞行,彰化縣員林市員水路二段390號
饒河街觀光夜市,小熊燒,饒河街319號攤位,奶油,小熊與樹糕點屋,台中市西屯區大安街31號
饒河街觀光夜市,小熊燒,饒河街319號攤位,巧克力,小熊與樹糕點屋,台中市西屯區大安街31號
饒河街觀光夜市,三明治,饒河街321號攤位,沙拉油,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,三明治,饒河街321號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,北大洋深海大魷魚 烤魷魚,饒河街324號攤位,蠔油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,芋包芋,饒河街325號攤位,沙拉油,泰山企業股份有限公司,彰化縣田中鎮興工路6號
饒河街觀光夜市,邱記10元碳烤,饒河街331號攤位,胡椒粉,邱記企業社,新北市泰山區台麗街57號
饒河街觀光夜市,邱記10元碳烤,饒河街331號攤位,辣椒粉,邱記企業社,新北市泰山區台麗街57號
饒河街觀光夜市,北港麻辣臭豆腐,饒河街332號攤位,沙茶醬,牛頭牌(好帝一食品有限公司),台南市新市區大營里豐榮160號
饒河街觀光夜市,北港麻辣臭豆腐,饒河街332號攤位,豆瓣醬,哈哈醬園股份有限公司,高雄市岡山區仁壽南路110號
饒河街觀光夜市,北港麻辣臭豆腐,饒河街332號攤位,豬油,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,變態雞翅,饒河街28號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,變態雞翅,饒河街28號攤位,醬油,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,頂級澳洲岩烤和牛,饒河街334號攤位,玫瑰鹽,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,頂級澳洲岩烤和牛,饒河街334號攤位,黑胡椒粒,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,頂級澳洲岩烤和牛,饒河街334號攤位,辣椒粉,濟生股份有限公司,台北市大同區安西街116號
饒河街觀光夜市,爆漿雞腿捲,饒河街338號攤位,胡椒粉,飛馬牌(濟生股份有限公司),台北市大同區安西街116號
饒河街觀光夜市,養生現壓甘蔗汁,饒河街340號攤位,黑糖,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,養生現壓甘蔗汁,饒河街340號攤位,薑母,南松山市場,台北市松山區塔悠路40號
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街342號攤位,胡椒鹽,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街342號攤位,檸檬,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街342號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,乙町翁日式岩燒,饒河街路中122號攤位,七味唐辛子,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,乙町翁日式岩燒,饒河街路中122號攤位,玫瑰鹽,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,乙町翁日式岩燒,饒河街路中122號攤位,芥末粉,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,是茶非茶,饒河街344號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,港仔找茶,饒河街117號攤位,糖,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街328號攤位,胡椒鹽,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街328號攤位,檸檬,小磨坊國際貿易股份有限公司,台中市西屯區工業區一路70號7樓之1
饒河街觀光夜市,不一樣碳烤杏鮑菇,饒河街328號攤位,醬油,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,串燒臭豆腐,饒河街192號店面前,醬油膏,新亞醬園,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,裕子燒,饒河街231-右邊攤位,沙拉醬,瑞西莎拉醬(維味香食品工廠),台南市六甲區龜港里142號
饒河街觀光夜市,極品鹽水雞,饒河街231-左邊,鹽,台鹽實業股份有限公司 ,台南市南區健康路1段297號
